student_uid,Cantidad_Envios_error_AssertionError,Cantidad_Envios_error_AttributeError,Cantidad_Envios_error_EOFError,Cantidad_Envios_error_IndentationError,Cantidad_Envios_error_NameError,Cantidad_Envios_error_SyntaxError,Cantidad_Envios_error_TypeError,Ejercicios_unicos_error_AssertionError,Ejercicios_unicos_error_AttributeError,Ejercicios_unicos_error_EOFError,Ejercicios_unicos_error_IndentationError,Ejercicios_unicos_error_NameError,Ejercicios_unicos_error_SyntaxError,Ejercicios_unicos_error_TypeError
227,0,0,0,24,8,104,1,0,0,0,10,1,22,1
228,0,0,0,29,1,80,0,0,0,0,5,1,14,0
229,0,0,0,2,0,35,0,0,0,0,2,0,15,0
230,0,0,0,15,3,54,0,0,0,0,5,1,11,0
232,0,0,0,2,0,11,0,0,0,0,1,0,5,0
233,0,0,0,26,0,137,0,0,0,0,9,0,22,0
234,0,0,0,0,0,12,0,0,0,0,0,0,8,0
235,0,0,0,22,2,62,0,0,0,0,8,1,14,0
236,0,0,0,13,1,147,0,0,0,0,5,1,21,0
237,0,0,0,0,0,5,0,0,0,0,0,0,2,0
238,0,0,0,0,0,1,0,0,0,0,0,0,1,0
239,0,0,0,7,0,13,0,0,0,0,1,0,4,0
240,0,0,0,10,2,9,0,0,0,0,5,1,4,0
241,0,0,0,7,0,2,0,0,0,0,2,0,1,0
242,0,0,0,20,1,94,0,0,0,0,7,1,21,0
243,0,0,0,5,0,4,0,0,0,0,2,0,4,0
244,0,0,0,3,2,2,0,0,0,0,2,1,2,0
245,0,0,0,1,0,17,0,0,0,0,1,0,6,0
246,0,0,0,4,0,1,0,0,0,0,2,0,1,0
248,0,0,0,2,1,23,0,0,0,0,2,1,7,0
249,0,0,0,0,0,3,0,0,0,0,0,0,2,0
250,0,0,0,20,5,87,0,0,0,0,5,1,15,0
252,0,0,0,0,0,35,0,0,0,0,0,0,13,0
253,0,0,0,0,2,41,0,0,0,0,0,1,13,0
254,0,0,0,9,2,65,0,0,0,0,3,1,12,0
255,0,0,0,5,0,31,0,0,0,0,3,0,14,0
257,0,0,0,0,0,27,0,0,0,0,0,0,12,0
258,0,0,0,25,6,72,0,0,0,0,10,1,16,0
259,0,0,0,1,0,29,0,0,0,0,1,0,10,0
260,0,0,0,33,2,45,0,0,0,0,5,1,12,0
261,0,0,0,23,1,42,0,0,0,0,9,1,14,0
262,0,0,0,23,0,18,0,0,0,0,8,0,8,0
263,0,0,0,9,1,36,0,0,0,0,3,1,11,0
